loan_id,report_date,principal_balance,principal_debt,principal_paid,interest_paid,maintenance_fee_paid
c010a66a246d4620bb5f19e3443667a0,2025-03-27,1307.8,0.0,0.0,11.88,1.26
f41d149f47842aac216c2461d00da625,2025-03-17,2387.06,0.0,56.97,38.68,12.4
84b6e401d644455f4a300ad50da434b5,2025-03-17,179.48,0.0,0.55,2.73,1.01
53620bd9f2a2885a815992c55deb78e4,2024-07-05,280.33,0.0,21.17,4.54,0.0
d3b87747b485d3e0c7557d6834c0b67d,2024-08-01,3622.63,0.0,10.51,58.34,12.17
d3b87747b485d3e0c7557d6834c0b67d,2024-07-01,3641.09,7.95,2.39,0.0,0.0
53620bd9f2a2885a815992c55deb78e4,2024-08-04,258.84,0.0,21.49,4.22,0.36
d3b87747b485d3e0c7557d6834c0b67d,2024-07-29,3633.14,0.0,7.95,58.51,12.17
d3b87747b485d3e0c7557d6834c0b67d,2024-05-31,3643.48,0.0,10.18,56.71,11.76
53620bd9f2a2885a815992c55deb78e4,2024-06-06,301.5,0.0,20.86,4.85,0.0
a7c681f8912d5e2a9582b7154cddddec,2024-06-06,1889.16,0.0,45.18,31.09,7.6
0638bb40b63b70d494ec440d3b498ae2,2024-06-27,1815.72,6.38,19.98,0.0,0.0
a7c681f8912d5e2a9582b7154cddddec,2024-06-02,1934.34,45.18,1.57,0.0,0.0
600832407fa4ae0b810a871d51f56e8f,2024-06-06,3042.07,0.0,9.16,49.0,10.95
8e6f6313bdab300b657e02ad73ea2a80,2024-06-13,1984.07,0.0,41.33,33.82,10.28
36931cce82912349d8127502535d82e7,2024-08-13,861.44,0.0,12.13,13.15,3.15
36931cce82912349d8127502535d82e7,2024-07-05,873.99,0.0,12.26,10.35,0.0
80f94181edbf8af882134544af1adced,2024-07-08,2407.16,0.0,43.67,40.64,10.63
36931cce82912349d8127502535d82e7,2024-08-01,873.57,12.13,0.42,0.0,0.0
36931cce82912349d8127502535d82e7,2024-07-01,886.25,12.26,0.1,0.0,0.0
36931cce82912349d8127502535d82e7,2024-07-14,873.99,0.0,0.0,2.98,0.51
c03ada9d1407fde63a567f5ff3928bf8,2024-07-29,3230.46,0.0,0.0,55.0,11.29
80f94181edbf8af882134544af1adced,2024-08-12,2362.77,0.0,44.39,39.92,10.63
80f94181edbf8af882134544af1adced,2024-05-30,2450.83,0.0,42.96,41.36,10.63
36931cce82912349d8127502535d82e7,2024-05-31,898.51,12.16,0.02,0.0,0.0
c03ada9d1407fde63a567f5ff3928bf8,2024-06-09,3230.46,0.0,0.0,55.0,11.29
36931cce82912349d8127502535d82e7,2024-06-02,886.35,0.0,12.16,13.52,0.0
a7993d7a9e662b5dedd72a608d8e3d5c,2023-10-30,1363.16,0.0,19.96,12.56,1.26
27ce98acf4143529bc6d22da86cf8759,2023-10-01,3567.41,0.0,47.67,58.05,0.0
6f5d93ed2d6ce26edf2e90ad2083bc74,2023-10-12,1275.0,0.0,0.0,34.32,4.25
0d1f60289e2b37fbdf14cd38b05b15f3,2023-10-29,1286.8,0.0,308.37,25.63,0.0
3ef12d848d9561150f414c1087f5d742,2023-11-03,3559.68,48.58,1.22,0.0,0.0
0d1f60289e2b37fbdf14cd38b05b15f3,2023-09-30,1595.89,0.0,75.59,30.51,0.0
a7993d7a9e662b5dedd72a608d8e3d5c,2023-10-01,1383.12,0.0,19.78,12.74,1.26
3ef12d848d9561150f414c1087f5d742,2023-10-05,3560.9,0.0,49.01,57.97,1.21
0d1f60289e2b37fbdf14cd38b05b15f3,2023-11-02,1286.48,313.73,0.32,0.0,0.0
0d1f60289e2b37fbdf14cd38b05b15f3,2023-10-05,1595.17,308.37,0.72,0.0,0.0
3ef12d848d9561150f414c1087f5d742,2023-11-04,3511.1,0.0,48.58,57.18,12.61
27ce98acf4143529bc6d22da86cf8759,2023-10-30,3518.98,0.0,48.43,57.29,0.81
3ef12d848d9561150f414c1087f5d742,2024-05-05,3236.53,53.21,1.38,0.0,0.0
3ef12d848d9561150f414c1087f5d742,2024-04-28,3237.91,0.0,53.73,52.94,12.61
a7993d7a9e662b5dedd72a608d8e3d5c,2024-05-02,1239.55,0.0,21.07,11.45,1.26
a7993d7a9e662b5dedd72a608d8e3d5c,2024-03-31,1260.62,0.0,20.88,11.64,1.26
27ce98acf4143529bc6d22da86cf8759,2024-04-01,0.0,0.0,0.0,0.0,12.57
3ef12d848d9561150f414c1087f5d742,2024-03-04,3336.39,32.6,20.47,0.0,0.0
27ce98acf4143529bc6d22da86cf8759,2024-02-29,3310.8,0.0,58.17,54.1,12.61
3ef12d848d9561150f414c1087f5d742,2024-03-03,3356.86,0.0,50.8,54.74,12.61
0d1f60289e2b37fbdf14cd38b05b15f3,2024-02-26,0.0,0.0,328.68,5.29,10.65
a7993d7a9e662b5dedd72a608d8e3d5c,2024-02-29,1281.5,0.0,20.69,11.83,1.26
27ce98acf4143529bc6d22da86cf8759,2024-03-30,0.0,0.0,3310.8,51.4,0.0
3ef12d848d9561150f414c1087f5d742,2024-03-17,3291.64,0.0,44.75,53.91,12.61
27ce98acf4143529bc6d22da86cf8759,2023-12-01,3469.77,0.0,49.21,56.51,12.61
0d1f60289e2b37fbdf14cd38b05b15f3,2024-01-29,329.43,0.0,322.78,10.5,10.65
6f5d93ed2d6ce26edf2e90ad2083bc74,2023-11-14,1275.0,0.0,0.0,9.14,4.25
0d1f60289e2b37fbdf14cd38b05b15f3,2023-11-26,972.75,0.0,313.73,20.66,0.0
0d1f60289e2b37fbdf14cd38b05b15f3,2023-12-02,971.89,318.24,0.86,0.0,0.0
27ce98acf4143529bc6d22da86cf8759,2024-02-01,3368.97,0.0,50.8,54.92,12.61
3ef12d848d9561150f414c1087f5d742,2024-01-11,3409.09,0.0,51.04,55.57,12.61
6f5d93ed2d6ce26edf2e90ad2083bc74,2023-11-26,1275.0,0.0,0.0,25.18,0.0
3ef12d848d9561150f414c1087f5d742,2024-02-03,3407.66,50.8,1.43,0.0,0.0
a7993d7a9e662b5dedd72a608d8e3d5c,2024-02-01,1302.19,0.0,20.51,12.01,1.26
0d1f60289e2b37fbdf14cd38b05b15f3,2023-12-29,653.65,0.0,318.24,15.62,0.0
a7993d7a9e662b5dedd72a608d8e3d5c,2023-12-01,1343.02,0.0,20.14,12.38,1.26
3ef12d848d9561150f414c1087f5d742,2024-01-04,3460.13,51.04,0.37,0.0,0.0
3ef12d848d9561150f414c1087f5d742,2023-12-07,3460.5,0.0,48.72,56.38,12.61
0d1f60289e2b37fbdf14cd38b05b15f3,2024-02-01,328.68,328.68,0.75,0.0,0.0
0d1f60289e2b37fbdf14cd38b05b15f3,2024-01-01,652.21,322.78,1.44,0.0,0.0
a7993d7a9e662b5dedd72a608d8e3d5c,2023-12-30,1322.7,0.0,20.32,12.2,1.26
27ce98acf4143529bc6d22da86cf8759,2023-12-31,3419.77,0.0,50.0,55.72,12.61
6f5d93ed2d6ce26edf2e90ad2083bc74,2023-12-09,1275.0,0.0,0.0,9.15,4.25
3ef12d848d9561150f414c1087f5d742,2023-12-04,3509.22,48.72,1.88,0.0,0.0
536b670dd791072b972d57658e75cae9,2025-01-16,4883.26,0.0,107.21,40.8,5.89
536b670dd791072b972d57658e75cae9,2024-12-20,4990.47,0.0,112.56,46.35,5.89
536b670dd791072b972d57658e75cae9,2025-02-14,0.0,0.0,4883.26,41.4,5.5
